symbol,interval,timestamp,open,high,low,close,volume,trading_day,scan_id
QQQ,5m,2026-07-31 08:00:00+00:00,691.26,692.44,691.0,691.25,41331.73325,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 08:05:00+00:00,691.16,691.96,691.0,691.06,25447.506784999998,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 08:10:00+00:00,691.07,692.12,690.86,692.08,17988.397305000002,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 08:15:00+00:00,692.07,692.56,692.03,692.4611,12322.664341,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 08:20:00+00:00,692.5,692.55,691.81,692.02,20790.768742,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 08:25:00+00:00,692.13,692.86,692.13,692.66,19645.701560999998,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 08:30:00+00:00,692.53,692.89,692.4,692.62,10207.964387,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 08:35:00+00:00,692.47,692.52,692.17,692.23,11308.019476,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 08:40:00+00:00,692.0,692.1,691.83,691.89,8769.194923000001,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 08:45:00+00:00,691.87,692.69,691.85,692.56,7443.91797,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 08:50:00+00:00,692.6,692.71,692.2,692.2,4495.076736,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 08:55:00+00:00,692.29,692.79,692.19,692.79,12101.057268,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 09:00:00+00:00,692.85,693.08,692.6662,693.05,23744.333271999996,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 09:05:00+00:00,693.05,693.27,692.668,693.2152,10083.942637,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 09:10:00+00:00,693.2143,693.62,693.2143,693.31,16468.657457,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 09:15:00+00:00,693.32,693.39,693.0,693.04,6652.836658,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 09:20:00+00:00,692.93,693.19,692.7,692.82,5885.140582,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 09:25:00+00:00,692.82,693.0,692.3,692.39,16637.651638,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 09:30:00+00:00,692.36,692.3717,691.79,691.79,16628.785051,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 09:35:00+00:00,691.84,691.85,691.0,691.18,29852.883915,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 09:40:00+00:00,691.31,691.65,691.26,691.45,6653.43774,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 09:45:00+00:00,691.55,691.79,691.495,691.78,2381.0,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 09:50:00+00:00,691.78,691.8841,691.38,691.39,8880.837315,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 09:55:00+00:00,691.39,691.55,690.95,691.07,16229.651072,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 10:00:00+00:00,690.96,691.3,690.74,690.91,21218.311314,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 10:05:00+00:00,691.03,691.28,690.76,691.11,8979.026145,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 10:10:00+00:00,691.2,691.76,691.1,691.6,11840.79513,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 10:15:00+00:00,691.52,691.8,691.39,691.8,3034.947174,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 10:20:00+00:00,691.89,692.0,691.65,691.65,1834.0552659999998,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 10:25:00+00:00,691.6,692.12,691.6,691.95,15127.536971,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 10:30:00+00:00,691.91,692.09,691.78,691.85,10182.089184999999,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 10:35:00+00:00,691.91,692.0,691.77,691.9,5313.49326,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 10:40:00+00:00,692.09,692.2,692.02,692.02,9219.112297,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 10:45:00+00:00,692.25,692.4,691.51,691.55,10569.154199,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 10:50:00+00:00,691.57,692.17,691.57,692.17,12209.821633,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 10:55:00+00:00,692.16,692.16,691.64,691.77,5632.189605,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 11:00:00+00:00,691.78,693.06,691.6,693.0,48161.935102,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 11:05:00+00:00,693.0783,693.25,692.83,692.9596,27649.390059,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 11:10:00+00:00,692.96,692.96,692.42,692.5019,19246.28474,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 11:15:00+00:00,692.54,692.58,691.59,691.76,30935.518713,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 11:20:00+00:00,691.7,691.9,691.58,691.8699,17644.698616,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 11:25:00+00:00,691.83,692.22,691.41,691.59,31572.788431,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 11:30:00+00:00,691.51,691.55,690.89,691.12,53119.399762999994,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 11:35:00+00:00,691.1,691.71,690.91,691.0,32136.050269,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 11:40:00+00:00,690.943,691.27,690.88,691.1,11624.325117,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 11:45:00+00:00,691.17,691.4,691.02,691.35,15680.227266000002,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 11:50:00+00:00,691.35,691.69,691.35,691.69,13992.683856,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 11:55:00+00:00,691.451,691.6,691.39,691.5,11756.096018,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 12:00:00+00:00,691.58,691.58,690.48,690.55,18790.056494,2026-08-01,2026-08-01_000919
QQQ,5m,2026-07-31 12:05:00+00:00,690.58,690.59,690.14,690.22,29762.400864,2026-08-01,2026-08-01_000919
