observed_at_utc,trading_day,scan_id,category,stage,page,seconds,metadata
2026-08-01T04:09:39.405070+00:00,2026-08-01,2026-08-01_000919,scanner,run_scanner,,19.62,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:12:19.960515+00:00,2026-08-01,2026-08-01_001200,scanner,run_scanner,,19.21,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:18:12.310222+00:00,2026-08-01,2026-08-01_001740,scanner,run_scanner,,32.15,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:20:08.292426+00:00,2026-08-01,2026-08-01_001941,scanner,run_scanner,,26.33,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:22:28.349131+00:00,2026-08-01,2026-08-01_002154,scanner,run_scanner,,34.17,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:49:30.403668+00:00,2026-08-01,2026-08-01_004915,scanner,run_scanner,,14.49,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:51:50.373845+00:00,2026-08-01,2026-08-01_005133,scanner,run_scanner,,17.1,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:54:25.240781+00:00,2026-08-01,2026-08-01_005410,scanner,run_scanner,,15.18,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T04:57:06.857361+00:00,2026-08-01,2026-08-01_005650,scanner,run_scanner,,15.95,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T13:18:32.526175+00:00,2026-08-01,2026-08-01_091829,scanner,run_scanner,,3.2,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T13:20:52.777693+00:00,2026-08-01,2026-08-01_092049,scanner,run_scanner,,2.92,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T13:31:39.125693+00:00,2026-08-01,2026-08-01_093135,scanner,run_scanner,,3.24,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T13:40:56.848801+00:00,2026-08-01,2026-08-01_094049,scanner,run_scanner,,7.42,"{""symbols"": 26, ""workers"": 5}"
2026-08-01T13:46:37.547835+00:00,2026-08-01,2026-08-01_094627,scanner,run_scanner,,10.04,"{""symbols"": 26, ""workers"": 5}"
