trading_day,session_id,candidate_key,symbol,direction,setup_type,option_ticker,previous_state,new_state,state_started_at,state_ended_at,duration_minutes,market_session,from_action_status,to_action_status,from_quote_freshness,to_quote_freshness,from_realtime_ready,to_realtime_ready,previous_rank,new_rank,rank_change,promotion_reason,demotion_reason,reason
2026-08-01,paper_validation_2026-08-01,NVDA|NO_ENTRY|NO_ENTRY|,NVDA,NO_ENTRY,NO_ENTRY,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,NO_TRADE_MARKET_CLOSED,AVOID,,,False,False,7,3,4,Polygon delayed/stale feed,,STALE_MARKET_DATA
2026-08-01,paper_validation_2026-08-01,AAPL|NO_ENTRY|NO_ENTRY|,AAPL,NO_ENTRY,NO_ENTRY,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,NO_TRADE_MARKET_CLOSED,AVOID,,,False,False,18,4,14,Polygon delayed/stale feed,,STALE_MARKET_DATA
2026-08-01,paper_validation_2026-08-01,AMZN|NO_ENTRY|NO_ENTRY|,AMZN,NO_ENTRY,NO_ENTRY,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|NO_ENTRY_TRIGGER,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,STALE_STOCK_DATA,AVOID,,,False,False,4,6,-2,,Polygon delayed/stale feed,STALE_MARKET_DATA
2026-08-01,paper_validation_2026-08-01,META|NO_ENTRY|NO_ENTRY|,META,NO_ENTRY,NO_ENTRY,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,NO_TRADE_MARKET_CLOSED,AVOID,,,False,False,26,7,19,Polygon delayed/stale feed,,STALE_MARKET_DATA
2026-08-01,paper_validation_2026-08-01,TSLA|NO_ENTRY|NO_ENTRY|,TSLA,NO_ENTRY,NO_ENTRY,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,NO_TRADE_MARKET_CLOSED,AVOID,,,False,False,8,8,0,,,STALE_MARKET_DATA
2026-08-01,paper_validation_2026-08-01,AMD|NO_ENTRY|NO_ENTRY|,AMD,NO_ENTRY,NO_ENTRY,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|NO_ENTRY_TRIGGER,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,STALE_STOCK_DATA,AVOID,,,False,False,22,9,13,Polygon delayed/stale feed,,STALE_MARKET_DATA
2026-08-01,paper_validation_2026-08-01,AVGO|NO_ENTRY|NO_ENTRY|,AVGO,NO_ENTRY,NO_ENTRY,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,NO_TRADE_MARKET_CLOSED,AVOID,,,False,False,5,10,-5,,Polygon delayed/stale feed,STALE_MARKET_DATA
2026-08-01,paper_validation_2026-08-01,MU|NO_ENTRY|NO_ENTRY|,MU,NO_ENTRY,NO_ENTRY,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|NO_ENTRY_TRIGGER,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,STALE_STOCK_DATA,AVOID,,,False,False,13,11,2,Polygon delayed/stale feed,,STALE_MARKET_DATA
2026-08-01,paper_validation_2026-08-01,SMCI|NO_ENTRY|NO_ENTRY|,SMCI,NO_ENTRY,NO_ENTRY,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,NO_TRADE_MARKET_CLOSED,AVOID,,,False,False,6,15,-9,,Polygon delayed/stale feed,STALE_MARKET_DATA
2026-08-01,paper_validation_2026-08-01,SPCX|NO_ENTRY|NO_ENTRY|,SPCX,NO_ENTRY,NO_ENTRY,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,NO_TRADE_MARKET_CLOSED,AVOID,,,False,False,12,16,-4,,Polygon delayed/stale feed,STALE_MARKET_DATA
2026-08-01,paper_validation_2026-08-01,SMH|NO_ENTRY|NO_ENTRY|,SMH,NO_ENTRY,NO_ENTRY,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|NO_ENTRY_TRIGGER,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,STALE_STOCK_DATA,AVOID,,,False,False,9,17,-8,,Polygon delayed/stale feed,STALE_MARKET_DATA
2026-08-01,paper_validation_2026-08-01,INTC|NO_ENTRY|NO_ENTRY|,INTC,NO_ENTRY,NO_ENTRY,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|NO_ENTRY_TRIGGER,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,STALE_STOCK_DATA,AVOID,,,False,False,14,20,-6,,Polygon delayed/stale feed,STALE_MARKET_DATA
2026-08-01,paper_validation_2026-08-01,AMAT|NO_ENTRY|NO_ENTRY|,AMAT,NO_ENTRY,NO_ENTRY,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,NO_TRADE_MARKET_CLOSED,AVOID,,,False,False,11,21,-10,,Polygon delayed/stale feed,STALE_MARKET_DATA
2026-08-01,paper_validation_2026-08-01,MRVL|NO_ENTRY|NO_ENTRY|,MRVL,NO_ENTRY,NO_ENTRY,,STALE_STOCK_DATA|NO_OPTION|NOT_READY|NO_ENTRY_TRIGGER,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,STALE_STOCK_DATA,AVOID,,,False,False,23,23,0,,,STALE_MARKET_DATA
2026-08-01,paper_validation_2026-08-01,PANW|NO_ENTRY|NO_ENTRY|,PANW,NO_ENTRY,NO_ENTRY,,NO_TRADE_MARKET_CLOSED|NO_OPTION|NOT_READY|NO_DIRECTIONAL_EDGE,AVOID|NO_OPTION|NOT_READY|STALE_MARKET_DATA,2026-08-01 00:09:39,2026-08-01 09:18:32,548.88,PREMARKET,NO_TRADE_MARKET_CLOSED,AVOID,,,False,False,25,25,0,,,STALE_MARKET_DATA
