observed_at_utc,scan_id,job_id,job_name,priority,queue_wait,queue_runtime,total_runtime,status
2026-07-21T05:29:21.396806+00:00,,79839efd-fc6a-4fee-8b71-841ff7326388,persist_completed_trade_db,NORMAL,0.0015,1.1398,1.1413,COMPLETED
2026-07-21T05:32:31.768711+00:00,,0b187899-15a2-4395-9b86-69afc45ce3b4,persist_completed_trade_db,NORMAL,0.0014,1.1397,1.1411,COMPLETED
2026-07-21T05:32:54.483020+00:00,,1527de29-8e9f-4bd8-80c1-624a205652f8,persist_completed_trade_db,NORMAL,0.0013,0.8178,0.8191,COMPLETED
2026-07-21T05:49:39.177380+00:00,,4bb7110f-09cf-4181-96dd-9d5a5dca1583,persist_exit_snapshot_db,NORMAL,0.001,1.0326,1.0336,COMPLETED
2026-07-21T05:50:52.096629+00:00,,9fb9b75d-6125-40a1-a1a7-d0d860da8e60,persist_exit_snapshot_db,NORMAL,0.0016,0.5038,0.5054,COMPLETED
2026-07-21T05:52:54.151890+00:00,,4be01bae-c0fb-40b9-8228-8f64cf4eb25a,persist_exit_snapshot_db,NORMAL,0.0015,0.4964,0.4978,COMPLETED
2026-07-21T05:55:06.152527+00:00,,14634913-ae09-4949-b44f-78a3e2635e94,persist_exit_snapshot_db,NORMAL,0.0011,0.6293,0.6304,COMPLETED
2026-07-21T06:04:41.355374+00:00,,7cb23365-809f-4ece-8996-971a869694a7,persist_completed_trade_db,NORMAL,0.0013,1.1649,1.1661,COMPLETED
2026-07-21T06:15:45.358379+00:00,,3c923069-e67a-4641-94f0-19a8ac3b033f,persist_completed_trade_db,NORMAL,0.0019,0.5477,0.5497,COMPLETED
2026-07-21T06:16:31.207735+00:00,,f4bb2fdb-eb7b-4c0a-ae6f-673189ebb35c,persist_completed_trade_db,NORMAL,0.0015,0.4137,0.4153,COMPLETED
2026-07-21T06:24:49.997154+00:00,,8f04f11c-5e67-4d78-bba0-c4941bf31af1,persist_completed_trade_db,NORMAL,0.0009,1.2506,1.2515,COMPLETED
2026-07-21T06:27:29.755789+00:00,,4433b7c3-98c2-4a56-a745-3c8f2ccac1fd,persist_completed_trade_db,NORMAL,0.0015,0.4787,0.4802,COMPLETED
2026-07-21T06:27:58.606488+00:00,,9accd551-2a1b-44a2-9f1b-6d90debe60c3,persist_completed_trade_db,NORMAL,0.0012,0.5806,0.5819,COMPLETED
2026-07-21T06:29:18.607525+00:00,,a387b405-a570-456d-bd54-ad633d0c00c7,persist_completed_trade_db,NORMAL,0.0013,0.5493,0.5506,COMPLETED
2026-07-21T06:30:46.755710+00:00,,c288986e-fc8e-414d-bfee-70204f09250c,persist_completed_trade_db,NORMAL,0.0011,0.6415,0.6425,COMPLETED
2026-07-21T06:54:01.904098+00:00,,ef972c0d-2c36-4515-a168-9bada5d9fc25,insert,NORMAL,0.0047,0.4264,0.4311,COMPLETED
2026-07-21T06:54:01.978230+00:00,,da7bf525-7cd8-4689-8dfd-b172de750b8b,insert,NORMAL,0.4323,0.0719,0.5042,COMPLETED
2026-07-21T06:54:02.045576+00:00,,134f5c9f-d38f-4eb2-b75d-2cd5403f389d,insert,NORMAL,0.4968,0.0655,0.5623,COMPLETED
2026-07-21T06:54:02.116148+00:00,,93021bea-83e1-469a-81b6-97262c836032,insert,NORMAL,0.5633,0.0688,0.6321,COMPLETED
