"symbol","price","final_signal","alignment_score","score","entry","setup_category","entry_quality","risk_reward","allowed","probability","trade_grade","target_price","stop_price","projected_option_gain","option_delta","option_gamma","option_iv","option_strike","market_regime","replay_outcome","bars_to_outcome","r_multiple","mae","mfe","reasons","trade_id","timestamp"
"QQQ","730.73","HIGH CONVICTION BULLISH","9.45","13.8","BREAKOUT","BREAKOUT","HIGH","0.48","False","95","C","731.8","728.5","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","2.26","2.02","[""Strong relative strength"", ""EMA bullish"", ""EMA rising consistently"", ""Opening range breakout"", ""ORB holding above VWAP""]","51c4ba83-d7c6-4d97-9bb9-c0ebfbc3e5ad","2026-05-26 23:10:15"
"SPY","750.85","HIGH CONVICTION BULLISH","7.55","10.2","BREAKOUT","BREAKOUT","HIGH","0.84","False","93","C","751.6","749.96","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","1.91","0.08","[""EMA bullish"", ""EMA rising consistently"", ""MACD bullish""]","87bdcc68-afb9-41f3-a2aa-3d327690f5f4","2026-05-26 23:10:19"
"QQQ","730.73","HIGH CONVICTION BULLISH","9.45","13.8","BREAKOUT","BREAKOUT","LOW","0.48","False","89","C","731.8","728.5","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","2.26","2.02","[""Strong relative strength"", ""EMA bullish"", ""EMA rising consistently"", ""Opening range breakout"", ""ORB holding above VWAP""]","89350746-3220-433a-b79f-5d9d75b2cb6d","2026-05-26 23:18:54"
"SPY","750.85","HIGH CONVICTION BULLISH","7.55","10.2","BREAKOUT","BREAKOUT","LOW","0.84","False","85","C","751.6","749.96","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","1.91","0.08","[""EMA bullish"", ""EMA rising consistently"", ""MACD bullish""]","5e8590c7-046c-449f-b8c2-691b82c42d5f","2026-05-26 23:18:57"
"QQQ","730.73","HIGH CONVICTION BULLISH","9.45","13.8","BREAKOUT","BREAKOUT","LOW","0.48","False","89","C","731.8","728.5","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","2.26","2.02","[""Strong relative strength"", ""EMA bullish"", ""EMA rising consistently"", ""Opening range breakout"", ""ORB holding above VWAP""]","6bba8401-a52e-41ad-b0b6-970eeba9a4f3","2026-05-26 23:55:14"
"SPY","750.85","HIGH CONVICTION BULLISH","7.55","10.2","BREAKOUT","BREAKOUT","LOW","0.84","False","85","C","751.6","749.96","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","1.91","0.08","[""EMA bullish"", ""EMA rising consistently"", ""MACD bullish""]","b2303f6c-04a2-4d97-9194-a743a85da959","2026-05-26 23:55:18"
"QQQ","730.73","HIGH CONVICTION BULLISH","8.45","9.8","BREAKOUT","BREAKOUT","LOW","0.48","False","87","C","731.8","728.5","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","2.26","2.02","[""Strong relative strength"", ""EMA bullish"", ""EMA rising consistently"", ""Opening range breakout"", ""ORB holding above VWAP""]","de952ba3-0440-4ed9-87ec-9f8e3fa250f6","2026-05-26 23:58:38"
"SPY","750.85","HIGH CONVICTION BULLISH","6.55","6.199999999999999","BREAKOUT","BREAKOUT","LOW","0.84","False","83","C","751.6","749.96","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","1.91","0.08","[""EMA bullish"", ""EMA rising consistently"", ""MACD bullish""]","c5864fba-ce57-4237-a88e-b2ebf85daa7c","2026-05-26 23:58:41"
"QQQ","736.91","HIGH CONVICTION BULLISH","8.05","8.2","BREAKOUT","BREAKOUT","LOW","0.37","False","86","C","738.2","733.41","6.0","","","","","LOW_VOLATILITY","NO_HIT","44","0","1.21","1.44","[""Opening range breakout"", ""ORB holding above VWAP"", ""EMA bullish"", ""Strong relative strength""]","ca9e9ccf-e383-48d5-988c-9f12c865e6d5","2026-05-29 08:13:41"
"SPY","755.95","HIGH CONVICTION BULLISH","8.55","10.2","BREAKOUT","BREAKOUT","LOW","0.38","False","87","C","756.84","753.63","6.0","","","","","LOW_VOLATILITY","NO_HIT","44","0","0.66","1.62","[""Opening range breakout"", ""ORB holding above VWAP"", ""EMA bullish"", ""Strong relative strength"", ""EMA rising consistently""]","ae45f74e-e517-4d64-a60f-d1d7abc049a4","2026-05-29 08:13:46"
"QQQ","737.23","HIGH CONVICTION BULLISH","6.95","3.8","BREAKOUT","BREAKOUT","LOW","0.36","False","55","AVOID","738.52","733.67","6.0","","","","","LOW_VOLATILITY","NO_HIT","44","0","0.8","1.85","[""EMA bullish"", ""EMA rising consistently"", ""MACD bullish"", ""Strong relative strength""]","96890de4-3629-4eff-bd9e-9453078ac114","2026-05-29 08:41:15"
"SPY","755.71","BULLISH","2.05","0.20000000000000018","BREAKOUT","BREAKOUT","LOW","0.43","False","42","AVOID","756.56","753.72","6.0","","","","","LOW_VOLATILITY","NO_HIT","44","0","0.52","1.75","[""Opening range breakout"", ""ORB holding above VWAP"", ""EMA bullish"", ""Low volatility / possible chop"", ""Reduced score due to low volatility""]","9cfb1c0a-e8fc-4c6f-8b33-7d629b0add06","2026-05-29 08:41:28"
